k,x,y
Finance and Insurance,1995.2623149688789,301
Finance and Insurance,2238.72113856834,171
Finance and Insurance,2511.88643150958,82
Finance and Insurance,2818.382931264455,296
Finance and Insurance,3162.2776601683795,158
Finance and Insurance,3548.133892335753,116
Finance and Insurance,3981.0717055349733,299
Finance and Insurance,4466.835921509631,782
Finance and Insurance,5011.872336272725,180
Finance and Insurance,5623.413251903491,532
Finance and Insurance,6309.57344480193,409
Finance and Insurance,7079.457843841381,259
Finance and Insurance,7943.282347242814,546
Finance and Insurance,8912.509381337459,401
Finance and Insurance,10000.0,1188
Finance and Insurance,11220.18454301963,947
Finance and Insurance,12589.254117941662,698
Finance and Insurance,14125.375446227554,1105
Finance and Insurance,15848.93192461114,740
Finance and Insurance,17782.794100389227,891
Finance and Insurance,19952.62314968879,2225
Finance and Insurance,22387.21138568338,2573
Finance and Insurance,25118.864315095823,1553
Finance and Insurance,28183.82931264455,3581
Finance and Insurance,31622.776601683792,3991
Finance and Insurance,35481.33892335753,3240
Finance and Insurance,39810.71705534969,6022
Finance and Insurance,44668.359215096345,8340
Finance and Insurance,50118.72336272725,4373
Finance and Insurance,56234.13251903491,5682
Finance and Insurance,63095.7344480193,5892
Finance and Insurance,70794.57843841374,4445
Finance and Insurance,79432.82347242821,5517
Finance and Insurance,89125.0938133746,4086
Finance and Insurance,100000.0,6609
Finance and Insurance,112201.84543019629,4245
Finance and Insurance,125892.54117941661,3058
Finance and Insurance,141253.75446227554,3255
Finance and Insurance,158489.3192461114,2133
Finance and Insurance,177827.94100389228,1467
Finance and Insurance,199526.2314968879,2557
Finance and Insurance,223872.11385683378,1790
Finance and Insurance,251188.6431509582,598
Finance and Insurance,281838.2931264455,905
Finance and Insurance,316227.7660168379,453
Finance and Insurance,354813.3892335753,169
Finance and Insurance,398107.1705534969,465
Finance and Insurance,446683.5921509635,671
Finance and Insurance,501187.2336272725,910
Finance and Insurance,562341.3251903491,784
Finance and Insurance,630957.344480193,365
Finance and Insurance,707945.7843841374,875
Information,1995.2623149688789,206
Information,2238.72113856834,89
Information,2511.88643150958,46
Information,2818.382931264455,215
Information,3162.2776601683795,103
Information,3548.133892335753,79
Information,3981.0717055349733,182
Information,4466.835921509631,378
Information,5011.872336272725,112
Information,5623.413251903491,238
Information,6309.57344480193,199
Information,7079.457843841381,109
Information,7943.282347242814,285
Information,8912.509381337459,203
Information,10000.0,485
Information,11220.18454301963,361
Information,12589.254117941662,268
Information,14125.375446227554,367
Information,15848.93192461114,239
Information,17782.794100389227,282
Information,19952.62314968879,664
Information,22387.21138568338,713
Information,25118.864315095823,446
Information,28183.82931264455,884
Information,31622.776601683792,952
Information,35481.33892335753,707
Information,39810.71705534969,1315
Information,44668.359215096345,1950
Information,50118.72336272725,1080
Information,56234.13251903491,1468
Information,63095.7344480193,1635
Information,70794.57843841374,1218
Information,79432.82347242821,1720
Information,89125.0938133746,1323
Information,100000.0,1991
Information,112201.84543019629,1259
Information,125892.54117941661,1088
Information,141253.75446227554,990
Information,158489.3192461114,831
Information,177827.94100389228,607
Information,199526.2314968879,821
Information,223872.11385683378,638
Information,251188.6431509582,242
Information,281838.2931264455,372
Information,316227.7660168379,178
Information,354813.3892335753,75
Information,398107.1705534969,124
Information,446683.5921509635,87
Information,501187.2336272725,134
Information,562341.3251903491,157
Information,630957.344480193,323
Information,707945.7843841374,103
"Mining, Quarrying, and Oil and Gas Extraction",1995.2623149688789,10
"Mining, Quarrying, and Oil and Gas Extraction",2238.72113856834,9
"Mining, Quarrying, and Oil and Gas Extraction",2511.88643150958,5
"Mining, Quarrying, and Oil and Gas Extraction",2818.382931264455,8
"Mining, Quarrying, and Oil and Gas Extraction",3162.2776601683795,8
