k,x,y
East South Central - South region,100.0,14
East South Central - South region,112.2018454301963,9
East South Central - South region,125.89254117941675,19
East South Central - South region,141.2537544622754,26
East South Central - South region,158.48931924611142,40
East South Central - South region,177.82794100389228,42
East South Central - South region,199.52623149688787,145
East South Central - South region,223.872113856834,257
East South Central - South region,251.18864315095797,235
East South Central - South region,281.8382931264455,248
East South Central - South region,316.22776601683796,269
East South Central - South region,354.8133892335753,303
East South Central - South region,398.1071705534973,377
East South Central - South region,446.683592150963,505
East South Central - South region,501.18723362727246,663
East South Central - South region,562.341325190349,1005
East South Central - South region,630.957344480193,1224
East South Central - South region,707.945784384138,1559
East South Central - South region,794.3282347242813,1820
East South Central - South region,891.2509381337459,1678
East South Central - South region,1000.0,1784
East South Central - South region,1122.018454301963,1342
East South Central - South region,1258.9254117941675,1241
East South Central - South region,1412.537544622754,943
East South Central - South region,1584.893192461114,734
East South Central - South region,1778.2794100389228,497
East South Central - South region,1995.2623149688789,281
East South Central - South region,2238.72113856834,195
East South Central - South region,2511.88643150958,202
East South Central - South region,2818.382931264455,96
East South Central - South region,3162.2776601683795,30
East South Central - South region,3548.133892335753,64
East South Central - South region,3981.0717055349733,63
East South Central - South region,4466.835921509631,6
East South Central - South region,5011.872336272725,4
East South Central - South region,5623.413251903491,1
East South Central - South region,6309.57344480193,1
West North Central - Midwest region,100.0,15
West North Central - Midwest region,112.2018454301963,9
West North Central - Midwest region,125.89254117941675,25
West North Central - Midwest region,141.2537544622754,18
West North Central - Midwest region,158.48931924611142,30
West North Central - Midwest region,177.82794100389228,39
West North Central - Midwest region,199.52623149688787,83
West North Central - Midwest region,223.872113856834,239
West North Central - Midwest region,251.18864315095797,179
West North Central - Midwest region,281.8382931264455,194
West North Central - Midwest region,316.22776601683796,271
West North Central - Midwest region,354.8133892335753,286
West North Central - Midwest region,398.1071705534973,402
West North Central - Midwest region,446.683592150963,588
West North Central - Midwest region,501.18723362727246,704
West North Central - Midwest region,562.341325190349,1011
West North Central - Midwest region,630.957344480193,1245
West North Central - Midwest region,707.945784384138,1524
West North Central - Midwest region,794.3282347242813,1831
West North Central - Midwest region,891.2509381337459,1720
West North Central - Midwest region,1000.0,1784
West North Central - Midwest region,1122.018454301963,1469
West North Central - Midwest region,1258.9254117941675,1240
West North Central - Midwest region,1412.537544622754,993
West North Central - Midwest region,1584.893192461114,731
West North Central - Midwest region,1778.2794100389228,499
West North Central - Midwest region,1995.2623149688789,312
West North Central - Midwest region,2238.72113856834,167
West North Central - Midwest region,2511.88643150958,87
West North Central - Midwest region,2818.382931264455,73
West North Central - Midwest region,3162.2776601683795,129
West North Central - Midwest region,3548.133892335753,170
West North Central - Midwest region,3981.0717055349733,37
West North Central - Midwest region,4466.835921509631,13
West North Central - Midwest region,5011.872336272725,9
West North Central - Midwest region,5623.413251903491,8
West North Central - Midwest region,6309.57344480193,4
East North Central - Midwest region,100.0,27
East North Central - Midwest region,112.2018454301963,11
East North Central - Midwest region,125.89254117941675,43
East North Central - Midwest region,141.2537544622754,40
East North Central - Midwest region,158.48931924611142,45
East North Central - Midwest region,177.82794100389228,83
East North Central - Midwest region,199.52623149688787,254
East North Central - Midwest region,223.872113856834,561
East North Central - Midwest region,251.18864315095797,394
East North Central - Midwest region,281.8382931264455,377
East North Central - Midwest region,316.22776601683796,443
East North Central - Midwest region,354.8133892335753,465
East North Central - Midwest region,398.1071705534973,627
East North Central - Midwest region,446.683592150963,970
East North Central - Midwest region,501.18723362727246,1077
East North Central - Midwest region,562.341325190349,1817
East North Central - Midwest region,630.957344480193,2471
East North Central - Midwest region,707.945784384138,3316
East North Central - Midwest region,794.3282347242813,4130
East North Central - Midwest region,891.2509381337459,4216
East North Central - Midwest region,1000.0,4607
East North Central - Midwest region,1122.018454301963,3563
East North Central - Midwest region,1258.9254117941675,3052
East North Central - Midwest region,1412.537544622754,2442
East North Central - Midwest region,1584.893192461114,1913
East North Central - Midwest region,1778.2794100389228,1424
East North Central - Midwest region,1995.2623149688789,984
East North Central - Midwest region,2238.72113856834,526
East North Central - Midwest region,2511.88643150958,310
East North Central - Midwest region,2818.382931264455,252
East North Central - Midwest region,3162.2776601683795,343
East North Central - Midwest region,3548.133892335753,311
East North Central - Midwest region,3981.0717055349733,48
East North Central - Midwest region,4466.835921509631,153
East North Central - Midwest region,5011.872336272725,47
East North Central - Midwest region,5623.413251903491,21
East North Central - Midwest region,6309.57344480193,10
East North Central - Midwest region,7079.457843841381,5
East North Central - Midwest region,7943.282347242814,1
West South Central - South Region,100.0,24
West South Central - South Region,112.2018454301963,17
West South Central - South Region,125.89254117941675,30
West South Central - South Region,141.2537544622754,29
West South Central - South Region,158.48931924611142,56
West South Central - South Region,177.82794100389228,62
West South Central - South Region,199.52623149688787,148
West South Central - South Region,223.872113856834,330
West South Central - South Region,251.18864315095797,288
West South Central - South Region,281.8382931264455,325
West South Central - South Region,316.22776601683796,362
West South Central - South Region,354.8133892335753,360
West South Central - South Region,398.1071705534973,462
West South Central - South Region,446.683592150963,687
West South Central - South Region,501.18723362727246,762
West South Central - South Region,562.341325190349,1218
West South Central - South Region,630.957344480193,1676
West South Central - South Region,707.945784384138,2382
West South Central - South Region,794.3282347242813,3147
West South Central - South Region,891.2509381337459,3423
West South Central - South Region,1000.0,4122
West South Central - South Region,1122.018454301963,3585
West South Central - South Region,1258.9254117941675,3771
West South Central - South Region,1412.537544622754,3327
West South Central - South Region,1584.893192461114,2922
West South Central - South Region,1778.2794100389228,2388
West South Central - South Region,1995.2623149688789,1657
West South Central - South Region,2238.72113856834,1103
West South Central - South Region,2511.88643150958,685
West South Central - South Region,2818.382931264455,494
West South Central - South Region,3162.2776601683795,230
West South Central - South Region,3548.133892335753,75
West South Central - South Region,3981.0717055349733,348
West South Central - South Region,4466.835921509631,136
West South Central - South Region,5011.872336272725,15
West South Central - South Region,5623.413251903491,1
West South Central - South Region,6309.57344480193,6
West South Central - South Region,7079.457843841381,1
South Atlantic - South region,100.0,33
South Atlantic - South region,112.2018454301963,21
South Atlantic - South region,125.89254117941675,48
South Atlantic - South region,141.2537544622754,44
South Atlantic - South region,158.48931924611142,81
South Atlantic - South region,177.82794100389228,111
South Atlantic - South region,199.52623149688787,307
South Atlantic - South region,223.872113856834,562
South Atlantic - South region,251.18864315095797,399
South Atlantic - South region,281.8382931264455,460
South Atlantic - South region,316.22776601683796,503
South Atlantic - South region,354.8133892335753,489
South Atlantic - South region,398.1071705534973,631
South Atlantic - South region,446.683592150963,862
South Atlantic - South region,501.18723362727246,1078
South Atlantic - South region,562.341325190349,1592
South Atlantic - South region,630.957344480193,2149
South Atlantic - South region,707.945784384138,2743
South Atlantic - South region,794.3282347242813,3597
South Atlantic - South region,891.2509381337459,3928
South Atlantic - South region,1000.0,4986
South Atlantic - South region,1122.018454301963,4810
South Atlantic - South region,1258.9254117941675,5890
South Atlantic - South region,1412.537544622754,5955
South Atlantic - South region,1584.893192461114,6073
South Atlantic - South region,1778.2794100389228,5237
South Atlantic - South region,1995.2623149688789,4304
South Atlantic - South region,2238.72113856834,2804
South Atlantic - South region,2511.88643150958,1779
South Atlantic - South region,2818.382931264455,1234
South Atlantic - South region,3162.2776601683795,799
South Atlantic - South region,3548.133892335753,450
South Atlantic - South region,3981.0717055349733,303
South Atlantic - South region,4466.835921509631,194
South Atlantic - South region,5011.872336272725,580
South Atlantic - South region,5623.413251903491,242
South Atlantic - South region,6309.57344480193,20
South Atlantic - South region,7079.457843841381,11
South Atlantic - South region,7943.282347242814,6
South Atlantic - South region,8912.509381337459,1
Mountain - West region,100.0,10
Mountain - West region,112.2018454301963,5
Mountain - West region,125.89254117941675,17
Mountain - West region,141.2537544622754,15
Mountain - West region,158.48931924611142,26
Mountain - West region,177.82794100389228,35
Mountain - West region,199.52623149688787,73
Mountain - West region,223.872113856834,179
Mountain - West region,251.18864315095797,145
Mountain - West region,281.8382931264455,139
Mountain - West region,316.22776601683796,165
Mountain - West region,354.8133892335753,172
Mountain - West region,398.1071705534973,235
Mountain - West region,446.683592150963,292
Mountain - West region,501.18723362727246,346
Mountain - West region,562.341325190349,507
Mountain - West region,630.957344480193,712
Mountain - West region,707.945784384138,919
Mountain - West region,794.3282347242813,1321
Mountain - West region,891.2509381337459,1442
Mountain - West region,1000.0,1920
Mountain - West region,1122.018454301963,1752
Mountain - West region,1258.9254117941675,2175
Mountain - West region,1412.537544622754,2367
Mountain - West region,1584.893192461114,2401
Mountain - West region,1778.2794100389228,2200
Mountain - West region,1995.2623149688789,1826
Mountain - West region,2238.72113856834,1144
Mountain - West region,2511.88643150958,687
Mountain - West region,2818.382931264455,368
Mountain - West region,3162.2776601683795,230
Mountain - West region,3548.133892335753,128
Mountain - West region,3981.0717055349733,111
Mountain - West region,4466.835921509631,131
Mountain - West region,5011.872336272725,38
Mountain - West region,5623.413251903491,93
Mountain - West region,6309.57344480193,10
Mountain - West region,7079.457843841381,4
Mountain - West region,7943.282347242814,2
Middle Atlantic - Northeast region,100.0,29
Middle Atlantic - Northeast region,112.2018454301963,11
Middle Atlantic - Northeast region,125.89254117941675,38
Middle Atlantic - Northeast region,141.2537544622754,20
Middle Atlantic - Northeast region,158.48931924611142,56
Middle Atlantic - Northeast region,177.82794100389228,81
Middle Atlantic - Northeast region,199.52623149688787,222
Middle Atlantic - Northeast region,223.872113856834,488
Middle Atlantic - Northeast region,251.18864315095797,515
Middle Atlantic - Northeast region,281.8382931264455,438
Middle Atlantic - Northeast region,316.22776601683796,400
Middle Atlantic - Northeast region,354.8133892335753,446
Middle Atlantic - Northeast region,398.1071705534973,530
Middle Atlantic - Northeast region,446.683592150963,763
Middle Atlantic - Northeast region,501.18723362727246,749
Middle Atlantic - Northeast region,562.341325190349,1132
Middle Atlantic - Northeast region,630.957344480193,1425
Middle Atlantic - Northeast region,707.945784384138,1896
Middle Atlantic - Northeast region,794.3282347242813,2454
Middle Atlantic - Northeast region,891.2509381337459,2585
Middle Atlantic - Northeast region,1000.0,3434
Middle Atlantic - Northeast region,1122.018454301963,3142
Middle Atlantic - Northeast region,1258.9254117941675,3757
Middle Atlantic - Northeast region,1412.537544622754,3581
