k,x,y
Finance and Insurance,1995.2623149688789,28.0
Finance and Insurance,2238.72113856834,171.0
Finance and Insurance,2511.88643150958,82.0
Finance and Insurance,2818.382931264455,296.0
Finance and Insurance,3162.2776601683795,158.0
Finance and Insurance,3548.133892335753,116.0
Finance and Insurance,3981.0717055349733,299.0
Finance and Insurance,4466.835921509631,782.0
Finance and Insurance,5011.872336272725,180.0
Finance and Insurance,5623.413251903491,532.0
Finance and Insurance,6309.57344480193,409.0
Finance and Insurance,7079.457843841381,259.0
Finance and Insurance,7943.282347242814,546.0
Finance and Insurance,8912.509381337459,401.0
Finance and Insurance,10000.0,1188.0
Finance and Insurance,11220.18454301963,947.0
Finance and Insurance,12589.254117941662,698.0
Finance and Insurance,14125.375446227554,1105.0
Finance and Insurance,15848.93192461114,740.0
Finance and Insurance,17782.794100389227,891.0
Finance and Insurance,19952.62314968879,2225.0
Finance and Insurance,22387.21138568338,2573.0
Finance and Insurance,25118.864315095823,1553.0
Finance and Insurance,28183.82931264455,3581.0
Finance and Insurance,31622.776601683792,3991.0
Finance and Insurance,35481.33892335753,3240.0
Finance and Insurance,39810.71705534969,6022.0
Finance and Insurance,44668.359215096345,8340.0
Finance and Insurance,50118.72336272725,4373.0
Finance and Insurance,56234.13251903491,5682.0
Finance and Insurance,63095.7344480193,5892.0
Finance and Insurance,70794.57843841374,4445.0
Finance and Insurance,79432.82347242821,5517.0
Finance and Insurance,89125.0938133746,4086.0
Finance and Insurance,100000.0,6609.0
Finance and Insurance,112201.84543019629,4245.0
Finance and Insurance,125892.54117941661,3058.0
Finance and Insurance,141253.75446227554,3255.0
Finance and Insurance,158489.3192461114,2133.0
Finance and Insurance,177827.94100389228,1467.0
Finance and Insurance,199526.2314968879,2557.0
Finance and Insurance,223872.11385683378,1790.0
Finance and Insurance,251188.6431509582,598.0
Finance and Insurance,281838.2931264455,905.0
Finance and Insurance,316227.7660168379,453.0
Finance and Insurance,354813.3892335753,169.0
Finance and Insurance,398107.1705534969,465.0
Finance and Insurance,446683.5921509635,671.0
Finance and Insurance,501187.2336272725,910.0
Finance and Insurance,562341.3251903491,784.0
Finance and Insurance,630957.344480193,365.0
Finance and Insurance,707945.7843841374,875.0
Information,1995.2623149688789,15.0
Information,2238.72113856834,89.0
Information,2511.88643150958,46.0
Information,2818.382931264455,215.0
Information,3162.2776601683795,103.0
Information,3548.133892335753,79.0
Information,3981.0717055349733,182.0
Information,4466.835921509631,378.0
Information,5011.872336272725,112.0
Information,5623.413251903491,238.0
Information,6309.57344480193,199.0
Information,7079.457843841381,109.0
Information,7943.282347242814,285.0
Information,8912.509381337459,203.0
Information,10000.0,485.0
Information,11220.18454301963,361.0
Information,12589.254117941662,268.0
Information,14125.375446227554,367.0
Information,15848.93192461114,239.0
Information,17782.794100389227,282.0
Information,19952.62314968879,664.0
Information,22387.21138568338,713.0
Information,25118.864315095823,446.0
Information,28183.82931264455,884.0
Information,31622.776601683792,952.0
Information,35481.33892335753,707.0
Information,39810.71705534969,1315.0
Information,44668.359215096345,1950.0
Information,50118.72336272725,1080.0
Information,56234.13251903491,1468.0
Information,63095.7344480193,1635.0
Information,70794.57843841374,1218.0
Information,79432.82347242821,1720.0
Information,89125.0938133746,1323.0
Information,100000.0,1991.0
Information,112201.84543019629,1259.0
Information,125892.54117941661,1088.0
Information,141253.75446227554,990.0
Information,158489.3192461114,831.0
Information,177827.94100389228,607.0
Information,199526.2314968879,821.0
Information,223872.11385683378,638.0
Information,251188.6431509582,242.0
Information,281838.2931264455,372.0
Information,316227.7660168379,178.0
Information,354813.3892335753,75.0
Information,398107.1705534969,124.0
Information,446683.5921509635,87.0
Information,501187.2336272725,134.0
Information,562341.3251903491,157.0
Information,630957.344480193,323.0
Information,707945.7843841374,103.0
Utilities,1995.2623149688789,2.0
Utilities,2238.72113856834,14.0
Utilities,2511.88643150958,10.0
Utilities,2818.382931264455,30.0
Utilities,3162.2776601683795,11.0
Utilities,3548.133892335753,11.0
Utilities,3981.0717055349733,29.0
Utilities,4466.835921509631,81.0
Utilities,5011.872336272725,22.0
Utilities,5623.413251903491,54.0
Utilities,6309.57344480193,49.0
Utilities,7079.457843841381,28.0
Utilities,7943.282347242814,61.0
Utilities,8912.509381337459,40.0
Utilities,10000.0,124.0
Utilities,11220.18454301963,73.0
Utilities,12589.254117941662,47.0
Utilities,14125.375446227554,71.0
Utilities,15848.93192461114,60.0
Utilities,17782.794100389227,64.0
Utilities,19952.62314968879,187.0
Utilities,22387.21138568338,191.0
