k,x,y
Other,5011.872336272725,1.0
Other,5623.413251903491,1.0
Other,7943.282347242814,1.0
Other,10000.0,1.0
Other,11220.18454301963,3.0
Other,14125.375446227554,1.0
Other,15848.93192461114,1.0
Other,19952.62314968879,6.0
Other,22387.21138568338,5.0
Other,25118.864315095823,3.0
Other,28183.82931264455,5.0
Other,31622.776601683792,3.0
Other,35481.33892335753,1.0
Other,39810.71705534969,6.0
Other,44668.359215096345,1.0
Other,50118.72336272725,1.0
Other,56234.13251903491,5.0
Other,63095.7344480193,3.0
Other,70794.57843841374,1.0
Other,100000.0,2.0
Other,112201.84543019629,1.0
Other,125892.54117941661,1.0
Other,177827.94100389228,1.0
Two or More,4466.835921509631,1.0
Two or More,5011.872336272725,1.0
Two or More,5623.413251903491,2.0
Two or More,6309.57344480193,2.0
Two or More,7943.282347242814,2.0
Two or More,8912.509381337459,1.0
Two or More,10000.0,6.0
Two or More,11220.18454301963,2.0
Two or More,12589.254117941662,3.0
Two or More,14125.375446227554,2.0
Two or More,15848.93192461114,1.0
Two or More,17782.794100389227,3.0
Two or More,19952.62314968879,6.0
Two or More,22387.21138568338,7.0
Two or More,25118.864315095823,5.0
Two or More,28183.82931264455,5.0
Two or More,31622.776601683792,6.0
Two or More,35481.33892335753,4.0
Two or More,39810.71705534969,5.0
Two or More,44668.359215096345,8.0
Two or More,50118.72336272725,5.0
Two or More,56234.13251903491,5.0
Two or More,63095.7344480193,9.0
Two or More,70794.57843841374,2.0
Two or More,79432.82347242821,11.0
Two or More,89125.0938133746,2.0
Two or More,100000.0,6.0
Two or More,112201.84543019629,4.0
Two or More,125892.54117941661,3.0
Two or More,141253.75446227554,4.0
Two or More,177827.94100389228,3.0
Two or More,199526.2314968879,2.0
Two or More,281838.2931264455,2.0
Two or More,316227.7660168379,1.0
Two or More,398107.1705534969,1.0
Native Hawaiian and Other Pacific Islander,31622.776601683792,1.0
American Indian or Alaska Native,177827.94100389228,1.0
Asian,4466.835921509631,2.0
Asian,5011.872336272725,1.0
Asian,7943.282347242814,1.0
Asian,8912.509381337459,1.0
Asian,10000.0,2.0
Asian,15848.93192461114,2.0
Asian,17782.794100389227,5.0
Asian,19952.62314968879,1.0
Asian,22387.21138568338,1.0
Asian,25118.864315095823,1.0
Asian,31622.776601683792,2.0
Asian,39810.71705534969,2.0
Asian,50118.72336272725,2.0
Asian,56234.13251903491,2.0
Asian,79432.82347242821,2.0
Asian,100000.0,5.0
Asian,112201.84543019629,1.0
Asian,125892.54117941661,1.0
Asian,141253.75446227554,3.0
Asian,158489.3192461114,3.0
Asian,199526.2314968879,2.0
Asian,223872.11385683378,1.0
American Indian,15848.93192461114,1.0
American Indian,17782.794100389227,1.0
American Indian,19952.62314968879,1.0
American Indian,25118.864315095823,1.0
American Indian,31622.776601683792,2.0
American Indian,35481.33892335753,3.0
American Indian,39810.71705534969,2.0
American Indian,56234.13251903491,1.0
American Indian,63095.7344480193,1.0
American Indian,79432.82347242821,1.0
American Indian,158489.3192461114,1.0
Black or African American,5623.413251903491,1.0
Black or African American,11220.18454301963,4.0
Black or African American,12589.254117941662,2.0
Black or African American,14125.375446227554,1.0
Black or African American,17782.794100389227,3.0
Black or African American,19952.62314968879,6.0
Black or African American,22387.21138568338,5.0
Black or African American,28183.82931264455,2.0
Black or African American,31622.776601683792,2.0
Black or African American,35481.33892335753,2.0
Black or African American,39810.71705534969,2.0
Black or African American,56234.13251903491,3.0
Black or African American,63095.7344480193,3.0
Black or African American,70794.57843841374,2.0
Black or African American,79432.82347242821,1.0
Black or African American,89125.0938133746,1.0
Black or African American,100000.0,1.0
Black or African American,112201.84543019629,2.0
Black or African American,141253.75446227554,1.0
Black or African American,177827.94100389228,1.0
Black or African American,281838.2931264455,1.0
White,4466.835921509631,23.0
White,5011.872336272725,8.0
White,5623.413251903491,14.0
White,6309.57344480193,12.0
White,7079.457843841381,9.0
White,7943.282347242814,26.0
White,8912.509381337459,5.0
White,10000.0,25.0
White,11220.18454301963,19.0
White,12589.254117941662,10.0
White,14125.375446227554,22.0
White,15848.93192461114,19.0
White,17782.794100389227,26.0
White,19952.62314968879,30.0
White,22387.21138568338,33.0
White,25118.864315095823,22.0
White,28183.82931264455,51.0
White,31622.776601683792,31.0
White,35481.33892335753,24.0
White,39810.71705534969,58.0
White,44668.359215096345,99.0
White,50118.72336272725,44.0
White,56234.13251903491,69.0
White,63095.7344480193,74.0
White,70794.57843841374,64.0
White,79432.82347242821,70.0
White,89125.0938133746,74.0
White,100000.0,92.0
White,112201.84543019629,61.0
White,125892.54117941661,32.0
White,141253.75446227554,40.0
White,158489.3192461114,32.0
White,177827.94100389228,11.0
White,199526.2314968879,26.0
White,223872.11385683378,19.0
White,251188.6431509582,8.0
White,281838.2931264455,7.0
White,316227.7660168379,5.0
White,354813.3892335753,3.0
White,398107.1705534969,13.0
White,446683.5921509635,2.0
