k,y
Circulatory system,577230
Digestive system,259581
Infectious and parasitic diseases,241405
Nervous system,211832
Respiratory system,197244
Hepatobiliary system; pancreas,170848
Musculoskeletal system; connective tissue,154653
Myeloproliferative diseases and disorders,122313
Kidney and urinary tract,120123
"Endocrine, nutritional; metabolic diseases, disorders",76757
"Injuries, poisonings and toxic effects of drugs",51802
"Skin, subcutaneous tissue and breast",34427
"Bblood, blood forming organs; immunologic disorders",34189
Multiple significant trauma,18480
Mental diseases and disorders,17621
