k,x,y
Commercial,100.0,25
Commercial,112.2018454301963,46
Commercial,125.89254117941675,28
Commercial,141.2537544622754,22
Commercial,158.48931924611142,32
Commercial,177.82794100389228,69
Commercial,199.52623149688787,46
Commercial,223.872113856834,62
Commercial,251.18864315095797,75
Commercial,281.8382931264455,67
Commercial,316.22776601683796,79
Commercial,354.8133892335753,198
Commercial,398.1071705534973,360
Commercial,446.683592150963,494
Commercial,501.18723362727246,575
Commercial,562.341325190349,482
Commercial,630.957344480193,396
Commercial,707.945784384138,513
Commercial,794.3282347242813,547
Commercial,891.2509381337459,1110
Commercial,1000.0,597
Commercial,1122.018454301963,855
Commercial,1258.9254117941675,856
Commercial,1412.537544622754,1049
Commercial,1584.893192461114,1239
Commercial,1778.2794100389228,1839
Commercial,1995.2623149688789,1375
Commercial,2238.72113856834,1483
Commercial,2511.88643150958,1795
Commercial,2818.382931264455,2365
Commercial,3162.2776601683795,1995
Commercial,3548.133892335753,2137
Commercial,3981.0717055349733,2606
Commercial,4466.835921509631,3542
Commercial,5011.872336272725,3785
Commercial,5623.413251903491,4498
Commercial,6309.57344480193,5962
Commercial,7079.457843841381,5980
Commercial,7943.282347242814,6778
Commercial,8912.509381337459,9604
Commercial,10000.0,20781
Commercial,11220.18454301963,20663
Commercial,12589.254117941662,43756
Commercial,14125.375446227554,33044
Commercial,15848.93192461114,19825
Commercial,17782.794100389227,27333
Commercial,19952.62314968879,27576
Commercial,22387.21138568338,15517
Commercial,25118.864315095823,15832
Commercial,28183.82931264455,20033
Commercial,31622.776601683792,21392
Commercial,35481.33892335753,15494
Commercial,39810.71705534969,9667
Commercial,44668.359215096345,4276
Commercial,50118.72336272725,3816
Commercial,56234.13251903491,2861
Commercial,63095.7344480193,4254
Commercial,70794.57843841374,2808
Commercial,79432.82347242821,3943
Commercial,89125.0938133746,2690
Commercial,100000.0,1373
Commercial,112201.84543019629,795
Commercial,125892.54117941661,904
Commercial,141253.75446227554,178
Commercial,158489.3192461114,401
Commercial,177827.94100389228,240
Commercial,199526.2314968879,90
Commercial,223872.11385683378,56
Commercial,251188.6431509582,53
Commercial,281838.2931264455,66
Medicaid,100.0,150
Medicaid,112.2018454301963,319
Medicaid,125.89254117941675,194
Medicaid,141.2537544622754,310
Medicaid,158.48931924611142,221
Medicaid,177.82794100389228,324
Medicaid,199.52623149688787,333
Medicaid,223.872113856834,371
Medicaid,251.18864315095797,382
Medicaid,281.8382931264455,542
Medicaid,316.22776601683796,524
Medicaid,354.8133892335753,888
Medicaid,398.1071705534973,805
Medicaid,446.683592150963,787
Medicaid,501.18723362727246,942
Medicaid,562.341325190349,794
Medicaid,630.957344480193,910
Medicaid,707.945784384138,1122
Medicaid,794.3282347242813,1267
Medicaid,891.2509381337459,1260
Medicaid,1000.0,1631
Medicaid,1122.018454301963,3277
Medicaid,1258.9254117941675,2075
Medicaid,1412.537544622754,35426
Medicaid,1584.893192461114,2905
Medicaid,1778.2794100389228,3918
Medicaid,1995.2623149688789,4652
Medicaid,2238.72113856834,6428
Medicaid,2511.88643150958,7207
Medicaid,2818.382931264455,8335
Medicaid,3162.2776601683795,8448
Medicaid,3548.133892335753,8522
Medicaid,3981.0717055349733,8242
Medicaid,4466.835921509631,8876
Medicaid,5011.872336272725,9460
Medicaid,5623.413251903491,8020
Medicaid,6309.57344480193,8523
Medicaid,7079.457843841381,8071
Medicaid,7943.282347242814,6748
Medicaid,8912.509381337459,6340
Medicaid,10000.0,5441
Medicaid,11220.18454301963,4954
Medicaid,12589.254117941662,4531
Medicaid,14125.375446227554,3473
Medicaid,15848.93192461114,3839
Medicaid,17782.794100389227,2988
Medicaid,19952.62314968879,3312
Medicaid,22387.21138568338,1933
Medicaid,25118.864315095823,1620
Medicaid,28183.82931264455,1443
Medicaid,31622.776601683792,1280
Medicaid,35481.33892335753,1084
Medicaid,39810.71705534969,927
Medicaid,44668.359215096345,788
Medicaid,50118.72336272725,675
Medicaid,56234.13251903491,538
Medicaid,63095.7344480193,465
Medicaid,70794.57843841374,352
Medicaid,79432.82347242821,266
Medicaid,89125.0938133746,272
Medicaid,100000.0,181
Medicaid,112201.84543019629,153
Medicaid,125892.54117941661,124
Medicaid,141253.75446227554,92
Medicaid,158489.3192461114,82
Medicaid,177827.94100389228,85
Medicaid,199526.2314968879,72
Medicaid,223872.11385683378,47
Medicaid,251188.6431509582,26
Medicaid,281838.2931264455,26
Medicare,177.82794100389228,5
Medicare,398.1071705534973,1
Medicare,446.683592150963,1
Medicare,562.341325190349,4
Medicare,630.957344480193,2
Medicare,707.945784384138,9
Medicare,891.2509381337459,6
Medicare,1000.0,5
